,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
371,845,53549.0,NGC5796,NGC5796,14592411-1637265,,G,224.850479,-16.624043,39.8242218425,,0.010837,-20.6477,0.00022286425395559765,14291571947.495844,1992.0
1790,2265,,,,14592480-1641365,,G,224.853363,-16.693487,48.4416193665,,0.014265,-19.8481,0.0011515146354857714,6842896952.736764,1992.0
4316,4792,53417.0,NGC5781,NGC5781,14564121-1714382,,G,224.171722,-17.243969,24.656404448299998,,0.005087882543939999,-18.1296,0.002807524991610163,1405529612.487567,1992.0
9081,9560,,,NGC5817,14594086-1610495,,G,224.920288,-16.180431,106.374202522,,0.024998,-20.8722,0.005897249632458018,17574379488.13935,1992.0
9175,9654,,,,14544065-1724204,,G,223.669388,-17.40568,42.5501952233,,0.017753,-16.0355,0.005955460456896971,204267841.62755382,1992.0
9646,10125,,,,14563862-1629162,,G,224.160934,-16.48786,32.9840894532,,0.018643,-18.4815,0.006268748691175372,1943569163.6476953,1992.0
12140,12621,902544.0,PGC902544,PGC902544,15000484-1605367,,G,225.020187,-16.093536,103.271649307,,0.025725,-20.4829,0.007879311434283512,12278915197.921364,1992.0
12215,12696,53520.0,ESO581-008,ESO581-008,14585010-1903356,,G,224.708771,-19.059902,48.890623417700006,,0.020715,-18.7461,0.007931353882405043,2479933298.5781426,1992.0
18732,19217,53600.0,NGC5815,NGC5815,15002929-1650035,,G,225.122055,-16.83432,41.8673652772,,0.00737667368834,-19.0894,0.012054052604459534,3402201251.52389,1992.0
21370,21855,,,53638,15005853-1524336,,G,225.243896,-15.409342,128.42934363700002,,0.0290026945013,-20.0333,0.013685212741061364,8115588162.388259,1992.0
21655,22140,53711.0,NGC5810,NGC5810,15024274-1752049,,G,225.678101,-17.868044,46.0191074137,,0.012595,-19.9347,0.013857669019841423,7411054380.075361,1992.0
30900,31390,,,899827,14545055-1618204,,G,223.710663,-16.305672,156.301797572,,0.030555,-20.9938,0.019463478938409016,19657125029.02129,1992.0
