,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
2105,2580,,,,20405654-2028129,,G,310.235596,-20.470261,123.13400149600001,,0.015587,-22.0689,0.0013794609394039653,52912709376.964005,2135.0
3931,4407,64789.0,ESO528-008,ESO528-008,20291261-2240179,,G,307.302582,-22.671659,88.0551984978,,0.021366,-20.7788,0.0025397776400384268,16125752874.641932,2135.0
6488,6964,,,ESO597-023,20403932-2026199,,G,310.163849,-20.438879,118.76776802299999,,0.023373,-21.3435,0.0042487024215394015,27126889605.169388,2135.0
7225,7702,,,ESO528-019,20345599-2306179,,G,308.733307,-23.104988,186.558374623,,0.02624,-22.0051,0.004731703744309608,49893043853.54638,2135.0
14996,15480,,,ESO597-027,20410493-2212103,,G,310.270569,-22.202881,188.49904957099997,,0.028725,-22.1765,0.009687998155875828,58425172053.603035,2135.0
15339,15823,,,ESO528-023,20360500-2410424,,G,309.02087400000005,-24.178467,109.119423466,,0.030258,-20.5275,0.009915738936206377,12793813041.575226,2135.0
15956,16440,,,,20314615-2228433,,G,307.9423220000001,-22.478720000000006,190.070721189,,0.036808,-21.2056,0.010314723627178628,23891312008.65975,2135.0
17054,17538,,,ESO597-020,20390719-2014268,,G,309.779968,-20.240803,124.83841807700001,,0.026256,-21.1547,0.010998460858676009,22797120772.419968,2135.0
17164,17648,,,ESO597-004,20320435-2042057,,G,308.018158,-20.701595,118.397131828,,0.0272,-20.8197,0.011063928815712831,16744801361.395094,2135.0
18043,18528,,,ESO597-024,20403923-2044229,,G,310.163483,-20.739714000000006,162.574388533,,0.033549,-21.3113,0.01163043521258173,26334192143.196617,2135.0
18766,19251,,,3094416,20415168-2032088,,G,310.465363,-20.535778,122.373811893,,0.02977,-20.6024,0.012076875555433344,13707555091.025349,2135.0
21739,22225,,,ESO597-021,20394371-2004189,,G,309.9321290000001,-20.071932,122.981948209,,0.035397000000000005,-20.4092,0.013913365934961341,11473079422.42631,2135.0
23629,24117,,,,20420125-2204427,,G,310.50524900000005,-22.078537,276.502222071,,0.047310000000000005,-21.9415,0.01508165915039264,47054373995.31815,2135.0
24203,24691,,,841094,20383916-2029027,,G,309.663177,-20.484104,122.825430792,,0.022594,-20.4994,0.01542388455499155,12466943750.722424,2135.0
25063,25551,,,ESO597-014,20355783-2149286,,G,308.990967,-21.824617,118.370340626,,0.026369,-21.0022,0.015935343549434284,19809795852.893646,2135.0
27151,27639,,,812232,20401945-2234032,,G,310.081055,-22.567581,188.544726761,,0.06765800000000001,-20.7161,0.017220952512929513,15220888340.102581,2135.0
