,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
73,547,40001.0,NGC4303,NGC4303,12215494+0428249,,G,185.478958,4.47359,22.0775078905,,0.0041958020979,-21.5198,5.1124921875366965e-05,31909500062.461994,1473.0
2888,3363,40775.0,NGC4409,NGC4409,12265847+0229396,,G,186.743652,2.494357,24.915723944699998,,0.00381024190512,-19.4824,0.0018604161491308315,4886073548.698686,1473.0
4413,4889,39886.0,NGC4289,NGC4289,12210230+0343190,,G,185.259598,3.72196,36.5235800215,,0.010729745364899998,-19.1929,0.002873710792286693,3742484410.981142,1473.0
13151,13634,39258.0,PGC039258,PGC039258,12155773+0318211,,G,183.990555,3.305887,89.18684287209999,,0.029261,-20.0575,0.00854346118246607,8298507675.144235,1473.0
13805,14288,39794.0,UGC07387,UGC07387,12201735+0412051,,G,185.072296,4.201428,26.6062215043,,0.008655574327790001,-18.6749,0.00893590141242859,2322522874.243852,1473.0
15012,15496,40120.0,PGC040120,PGC040120,12224232+0308307,,G,185.676361,3.141875,103.298304964,,0.022229,-20.0755,0.009700981526816916,8437232172.118326,1473.0
15131,15615,,,UGC07464,12234160+0257406,,G,185.92337,2.961285,111.256844896,,0.026502,-20.8496,0.00977968750754743,17212343319.989983,1473.0
32010,32500,40406.0,PGC040406,PGC040406,12243505+0153317,,G,186.146042,1.892144,106.405333416,,0.045658,-19.5978,0.02010802341297313,5434004578.460097,1473.0
41213,41706,39407.0,PGC039407,PGC039407,12172141+0234468,,G,184.339218,2.579683,114.66653314,,0.025934,-19.6402,0.02482320856541305,5650410496.341899,1473.0
41222,41715,39586.0,PGC039586,PGC039586,12185342+0300513,,G,184.722595,3.014256,126.41843634899999,,0.028606,-19.8721,0.024825859567928748,6995842121.711337,1473.0
41235,41728,39730.0,PGC039730,PGC039730,12195319+0146241,,G,184.971664,1.77337,81.6273219159,,0.017374,-18.8372,0.024827749705924704,2696994122.465811,1473.0
41249,41742,40015.0,PGC040015,PGC040015,12215779+0220422,,G,185.490799,2.34506,131.181391902,,0.029768,-20.4194,0.024832193117771125,11581371690.297272,1473.0
41254,41747,40139.0,PGC040139,PGC040139,12224960+0306147,,G,185.70668,3.104099,89.0055734374,,0.019212,-20.0901,0.024833371486725882,8551454710.662414,1473.0
41256,41749,40157.0,PGC040157,PGC040157,12225661+0244497,,G,185.735901,2.747155,35.2651559224,,0.008385,-17.6437,0.024833606957692825,898421217.7919352,1473.0
41260,41753,40276.0,PGC040276,PGC040276,12235074+0405136,,G,185.961456,4.08712,175.41224619,,0.039801,-21.2283,0.024835244625010373,24396077256.845524,1473.0
41261,41754,40285.0,PGC040285,PGC040285,12235422+0305056,,G,185.975937,3.084898,40.6891149575,,0.009866,-17.4254,0.024835271779931757,734784522.9198482,1473.0
41264,41757,40326.0,PGC040326,PGC040326,12240490+0111236,,G,186.020432,1.189899,151.85170663600002,,0.034029000000000004,-20.8531,0.024836534110564586,17267918888.29718,1473.0
41266,41759,40339.0,PGC040339,PGC040339,12241453+0413337,,G,186.060547,4.2260290000000005,34.150408145300005,,0.007996,-17.371,0.02483663946798661,698875796.1347077,1473.0
41272,41765,40411.0,PGC040411,PGC040411,12244005+0318122,,G,186.166885,3.3033940000000004,72.3154589583,,0.015747,-19.9632,0.024838720832334762,7608166354.624175,1473.0
43573,44066,139832.0,PGC139832,PGC139832,12261972+0143273,,G,186.582199,1.724274,204.69129294900003,,0.04685,-19.8895,0.02546049857128414,7108860631.304918,1473.0
43574,44067,139866.0,PGC139866,PGC139866,12281585+0242025,,G,187.066071,2.700696,66.6638011023,,0.014921,-18.2145,0.025460554739231082,1519847452.928482,1473.0
46396,46889,1245391.0,PGC1245391,PGC1245391,12231114+0306419,,G,185.796448,3.111648,94.78076726040001,,0.02079,-18.9936,0.02624433898271749,3114870530.978817,1473.0
46408,46901,1256712.0,PGC1256712,PGC1256712,12225581+0340477,,G,185.732544,3.679933,101.9880197,,0.022714031357,-17.7227,0.026247733367380288,966228848.5291533,1473.0
47939,48432,3092328.0,PGC3092328,PGC3092328,12185355+0259323,,G,184.72316,2.992311,159.287166135,,0.035774,-19.9169,0.026551902211912518,7290545085.009465,1473.0
49934,50427,39628.0,UGC07354,UGC07354,12190984+0351233,,G,184.791,3.856483,17.1295428345,,0.0041958020979,-16.8687,0.027099819892448637,440027683.345697,1473.0
49939,50432,39697.0,UGC07370,UGC07370,12194032+0204465,,G,184.91803,2.079584,34.3108695387,,0.00810390405195,-18.7672,0.0271009938221794,2528599222.126345,1473.0
49951,50444,40087.0,NGC4303A,NGC4303A,12222724+0433586,,G,185.613525,4.566304,25.5857458217,,0.00563,-18.42,0.027103537848665576,1836538343.3483512,1473.0
51394,51887,40220.0,PGC040220,,12232410+0240449,,G,185.850449,2.679154,154.41255041899998,,0.034546,-20.4404,0.027534297243384548,11807555619.552937,1473.0
52545,53038,,,1224313,12181765+0221204,,G,184.573547,2.355685,223.43449258599998,,0.050671,-19.6668,0.027937720817325342,5790552453.401468,1473.0
55643,56136,,,40532,12253199+0326160,,G,186.383331,3.4378050000000004,128.308382659,,0.029148,-20.3793,0.029072770957326088,11161434115.070276,1473.0
55833,56326,,,1237215,12245654+0246452,,G,186.235596,2.779228,143.04728045,,0.032341,-20.0424,0.02917809376435535,8183894082.134081,1473.0
58208,58701,,,1258637,12250681+0347290,,G,186.278381,3.791408,104.04920468899999,,0.0232465916233,-18.3562,0.03007655948895897,1731729279.8333025,1473.0
58321,58814,,,157608,12222441+0042576,,G,185.60173,0.716026,197.844494222,,0.045261,-19.7076,0.030118656303894386,6012291101.806977,1473.0
64692,65185,,,39694,12193832+0200444,,G,184.909698,2.012361,174.966490256,,0.039694,-19.7788,0.032597899675444304,6419777849.968617,1473.0
64715,65208,,,40407,12243866+0132432,,G,186.161118,1.545338,197.21695093,,0.045121,-20.3937,0.032606301252188295,11310453015.73333,1473.0
66470,66963,,,1206858,12241837+0149107,,G,186.076569,1.819642,153.450291427,,0.034332,-19.1248,0.03329500259957275,3514956866.661611,1473.0
66674,67167,,,1260536,12193989+0354374,,G,184.916214,3.910416000000001,153.165737003,,0.034343,-20.0398,0.033362043061703914,8164319651.803031,1473.0
81593,82086,,,40216,12231813+0129129,,G,185.825546,1.48693,141.098665676,,0.031986,-20.0276,0.03886990889535582,8073093827.667372,1473.0
81595,82088,,,40256,12233983+0119256,,G,185.91597,1.323785,153.02121145700002,,0.034268,-20.2578,0.03887069984260043,9979757766.272385,1473.0
81597,82090,,,40346,12241144+0124117,,G,186.047699,1.403251,178.060790402,,0.040432,-20.3018,0.03887134045892776,10392499206.057234,1473.0
123237,123730,,,1222933,12241596+0218507,,G,186.066528,2.314086,176.326698114,,0.040009,-20.0426,0.05961711027471945,8185401749.992462,1473.0
123270,123763,,,1226878,12233171+0226059,,G,185.882156,2.43499,189.709716418,,0.043285,-19.8064,0.059631773003079924,6585063996.80443,1473.0
123275,123768,,,1227454,12230108+0227107,,G,185.754532,2.452989,192.94193412799999,,0.044076,-19.7911,0.05963382143561535,6492919223.853768,1473.0
123288,123781,,,1229474,12294971+0231095,,G,187.457138,2.519331,190.24895380200002,,0.043415,-20.8086,0.05963835205012059,16574483360.8057,1473.0
