,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
3021,3496,,,,15573014+7041207,,G,239.37559500000003,70.68911,113.70340272799999,,0.017192,-21.8059,0.0019428883451178829,41529815335.40451,102.0
4414,4890,,,NGC6079,16042924+6939568,,G,241.121857,69.665802,110.41505193100001,,0.0218,-21.3951,0.0028747620968506736,28447231040.628708,102.0
4855,5331,,,UGC10078,15510497+6709313,,G,237.770721,67.15870699999999,131.39215664600002,,0.017781,-21.9478,0.0031706557961434234,47328201354.9338,102.0
7405,7884,,,IC1146,15482208+6923077,,G,237.092026,69.385498,117.383698251,,0.029368,-21.116,0.00485087194551623,21998851090.492558,102.0
8244,8723,,,IC1154,15522859+7022305,,G,238.119156,70.37514499999997,169.763100644,,0.031408,-21.8502,0.005376153714276417,43259351036.55109,102.0
11044,11524,,,56767,16020708+7025018,,G,240.52951,70.417168,111.64441689799999,,0.023992,-20.7672,0.00717997947051344,15954382504.47524,102.0
13344,13827,,,56063,15480784+6927338,,G,237.032684,69.459412,170.194494994,,0.037187,-21.1537,0.00866816996215764,22776133514.71149,102.0
14604,15088,57242.0,NGC6091,NGC6091,16075297+6954175,,G,241.970734,69.904877,103.236108804,,0.025253,-20.5272,0.00944074253493367,12790278468.73403,102.0
16153,16637,,,56039,15471861+6822038,,G,236.827576,68.367737,125.827511106,,0.028865,-20.7269,0.01044028191904628,15373048594.60874,102.0
17609,18094,,,56067,15480890+6812248,,G,237.037094,68.206909,127.640944304,,0.030753,-20.214,0.011353915428721434,9585173976.856464,102.0
17820,18305,,,57206,16071547+6955533,,G,241.814499,69.931473,111.46621661100001,,0.026446,-20.4177,0.01149594678655842,11563252255.531631,102.0
20128,20613,,,UGC10018,15433953+6745389,,G,235.914719,67.760818,130.580568619,,0.028127,-21.0634,0.01292909810748942,20958490494.73893,102.0
20473,20958,,,56687,16010557+6815069,,G,240.273239,68.25193,122.89250868799999,,0.030252,-20.3326,0.013151162935877028,10691533473.503576,102.0
21041,21526,,,UGC10173,16022350+6810536,,G,240.597931,68.18158000000001,126.25278654,,0.030115,-20.7842,0.013485605378451386,16206155436.61592,102.0
21409,21894,,,56927,16041545+6927189,,G,241.064377,69.45525400000001,112.08105265399999,,0.028516000000000007,-20.0317,0.01370578530484588,8103637397.512905,102.0
21533,22018,,,56299,15530439+6852122,,G,238.268311,68.870071,167.27579546299998,,0.036123,-21.1292,0.013778481099178385,22267937823.487545,102.0
22602,23088,,,UGC10142,15593278+7019590,,G,239.886612,70.333076,122.203913426,,0.028946,-20.4964,0.014431730263808354,12432543859.212273,102.0
24073,24561,,,56173,15503402+6709573,,G,237.641754,67.165932,140.635321078,,0.04017,-20.7195,0.015346907777159344,15268627500.26349,102.0
24200,24688,,,IC1147,15501166+6933364,,G,237.548584,69.56012,155.840678768,,0.040404,-20.9074,0.015421932171696259,18153484553.013947,102.0
24797,25285,,,UGC10057,15481737+6813147,,G,237.072403,68.22075699999999,128.46070468,,0.019659,-20.8769,0.015773893427238853,17650621417.34761,102.0
25756,26244,,,55856,15425538+7049412,,G,235.730759,70.828133,111.96520427899999,,0.032273,-19.9774,0.01635402070868744,7708324695.006911,102.0
26874,27362,,,56240,15514348+6711412,,G,237.931183,67.194786,133.527535819,,0.06514199999999999,-19.8459,0.017048839766450708,6829045400.787689,102.0
27594,28082,,,56657,16004187+6943160,,G,240.174469,69.721115,112.90994545,,0.040079,-20.1147,0.0174842566731124,8747420416.740068,102.0
28379,28867,,,UGC10162,16012588+7123556,,G,240.357834,71.39879599999998,173.893296152,,0.034656,-21.1324,0.017978391080834998,22333665126.998016,102.0
28410,28898,,,56114,15485233+6938389,,G,237.218063,69.644165,150.240412628,,0.03692,-20.8359,0.017993048236576173,16996519622.633038,102.0
